ip,port,type,country,country_code,latency_ms,tier,anonymity,streak,asn,asn_org,ip_type,source,updated_utc
43.135.176.121,1080,socks5,United States,US,113.7,fast,elite,4,132203,"Tencent Building, Kejizhongyi Avenue",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks5.txt,2026-09-06T04:49:30+00:00
107.167.18.122,443,https,United States,US,139.4,fast,elite,3,46844,Sharktech,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
165.154.162.73,8888,http,United States,US,158.1,fast,elite,1,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
137.66.1.45,80,http,United States,US,172.2,fast,elite,4,40509,"Fly.io, Inc.",unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
107.181.252.58,1082,https,United States,US,175.8,fast,elite,1,53850,"GorillaServers, Inc.",unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
142.93.202.130,3128,http,United States,US,196.6,fast,elite,20,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
159.65.245.255,80,http,United States,US,202.7,fast,elite,1,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
174.138.119.88,80,http,United States,US,213.2,fast,elite,4,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
140.99.255.67,8181,http,United States,US,217.3,fast,elite,3,63023,GTHost,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
159.65.230.46,8888,http,United States,US,217.6,fast,elite,1,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
140.99.255.67,43,http,United States,US,224.1,fast,elite,1,63023,GTHost,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
104.154.186.48,80,http,United States,US,247.7,fast,elite,1,396982,Google LLC,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
184.75.221.82,3118,https,Canada,CA,275.3,fast,elite,1,32489,Amanah Tech Inc.,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
50.30.36.17,1080,socks5,United States,US,300.2,fast,elite,1,30083,velia.net,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks5.txt,2026-09-06T04:49:30+00:00
13.125.44.24,80,http,South Korea,KR,317.2,fast,unknown,7,16509,"Amazon.com, Inc.",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
143.198.135.176,80,http,United States,US,324.7,fast,elite,1,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
107.181.252.58,1081,socks5,United States,US,333.5,fast,elite,1,53850,"GorillaServers, Inc.",unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks5.txt,2026-09-06T04:49:30+00:00
109.199.119.160,80,http,France,FR,341.3,fast,elite,7,51167,Contabo GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
116.203.27.109,80,http,Germany,DE,347.6,fast,unknown,59,24940,Hetzner Online GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
162.214.159.94,8085,http,United States,US,347.9,fast,elite,26,46606,Unified Layer,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
162.214.74.29,8085,http,United States,US,356.7,fast,elite,26,46606,Unified Layer,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
16.163.88.228,80,http,Hong Kong,HK,358.7,fast,unknown,31,16509,"Amazon.com, Inc.",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
170.239.84.103,3128,http,Chile,CL,364.4,fast,elite,1,52368,ZAM LTDA.,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
138.68.235.51,80,http,United States,US,374.8,fast,elite,1,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
104.200.152.30,4145,socks4,United States,US,376.2,fast,unknown,2,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
178.212.144.7,80,http,Poland,PL,381.1,fast,elite,2,51436,IDEALAN Sp. z o.o.,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
107.152.98.5,4145,socks4,United States,US,392.1,fast,unknown,7,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
185.94.164.165,80,http,The Netherlands,NL,405.3,fast,elite,1,200740,First Server Limited,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
192.252.220.92,17328,socks4,United States,US,407.1,fast,unknown,2,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
142.54.232.6,4145,socks4,United States,US,413.0,fast,unknown,1,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
181.78.74.252,999,http,Colombia,CO,421.0,fast,elite,2,52468,UFINET PANAMA S.A.,unknown,https://raw.githubusercontent.com/monosans/proxy-list/main/proxies/http.txt,2026-09-06T04:49:30+00:00
103.211.103.170,3128,http,Hong Kong,HK,424.4,fast,elite,7,141718,haoxiangyun,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
104.37.135.145,4145,socks4,United States,US,428.1,fast,unknown,1,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
163.172.167.48,80,http,France,FR,428.2,fast,elite,1,12876,Scaleway SAS,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
181.78.23.187,999,http,Colombia,CO,435.1,fast,elite,2,52468,UFINET PANAMA S.A.,unknown,https://raw.githubusercontent.com/monosans/proxy-list/main/proxies/http.txt,2026-09-06T04:49:30+00:00
142.54.229.249,4145,socks4,United States,US,436.4,fast,unknown,2,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
107.181.168.145,4145,socks4,United States,US,436.5,fast,unknown,4,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-06T04:49:30+00:00
181.78.74.253,999,http,Colombia,CO,441.2,fast,elite,2,52468,UFINET PANAMA S.A.,unknown,https://raw.githubusercontent.com/monosans/proxy-list/main/proxies/http.txt,2026-09-06T04:49:30+00:00
159.69.103.146,5555,http,Germany,DE,459.5,fast,elite,1,24940,Hetzner Online GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
115.239.234.43,7302,http,China,CN,460.3,fast,unknown,59,4134,Chinanet,residential,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
157.90.10.50,80,http,Germany,DE,461.2,fast,elite,5,24940,Hetzner Online GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
103.170.185.226,80,http,Bangladesh,BD,474.1,fast,unknown,2,137385,Saddam Hossain t/a Asian Network,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
153.135.4.238,8080,http,Japan,JP,477.4,fast,elite,1,4713,"NTT DOCOMO BUSINESS,Inc.",residential,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
140.99.255.67,8080,https,United States,US,479.0,fast,elite,3,63023,GTHost,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
5.249.165.195,20000,socks5,Germany,DE,482.8,fast,elite,1,206996,ZAP-Hosting GmbH,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks5.txt,2026-09-06T04:49:30+00:00
107.181.161.81,4145,socks5,United States,US,485.7,fast,unknown,1,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks5.txt,2026-09-06T04:49:30+00:00
108.174.152.80,1080,socks5,United States,US,495.5,fast,elite,1,31898,Oracle Corporation,datacenter,https://raw.githubusercontent.com/hookzof/socks5_list/master/proxy.txt,2026-09-06T04:49:30+00:00
176.61.151.123,80,http,Portugal,PT,504.3,medium,elite,7,33876,"Dominios, S.A.",unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
153.72.68.0,8081,http,United States,US,509.5,medium,elite,1,396982,Google LLC,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
1.231.81.166,3128,http,South Korea,KR,518.6,medium,elite,7,9318,SK Broadband Co Ltd,residential,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
185.135.69.34,80,http,Iraq,IQ,519.5,medium,elite,2,205889,Giga Nineveh for internet services Ltd,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
167.233.148.141,1083,http,Germany,DE,522.6,medium,elite,3,24940,Hetzner Online GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
147.91.22.150,80,http,Serbia,RS,526.7,medium,elite,1,13092,Akademska mreza Republike Srbije - AMRES,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
153.72.68.0,8080,http,United States,US,530.6,medium,elite,4,396982,Google LLC,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
159.65.221.25,80,http,United States,US,534.0,medium,elite,1,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-06T04:49:30+00:00
162.120.16.210,1080,socks5,United States,US,548.6,medium,elite,1,395839,HOSTKEY,unknown,https://raw.githubusercontent.com/monosans/proxy-list/main/proxies/socks5.txt,2026-09-06T04:49:30+00:00
